found_date,id,title,company,location,created,salary_min,salary_max,category,url
2026-07-06,5789298153,Business Analyst,Copello,"Arlingham, Gloucester",2026-07-05,58304.05,58304.05,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789298153?se=bn74Uy158RGv6I1d9w2voQ&utm_medium=api&utm_source=bce444a8&v=78B7D0FA16DCFD844220BCF87845AD6328726630
2026-07-06,5789182808,Data Scientist,Jupiter Asset Management,"London, UK",2026-07-05,49641.19,49641.19,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789182808?utm_medium=api&utm_source=bce444a8
2026-07-06,5789182515,Software Engineer - Backend (Java),Rightmove Careers,"London, UK",2026-07-05,56385.22,56385.22,Engineering Jobs,https://www.adzuna.co.uk/jobs/details/5789182515?utm_medium=api&utm_source=bce444a8
2026-07-06,5789182461,Intelligence Analyst - KTP Associate,University of Northumbria,UK,2026-07-05,35000,38000,Scientific & QA Jobs,https://www.adzuna.co.uk/jobs/details/5789182461?utm_medium=api&utm_source=bce444a8
2026-07-06,5789182397,Applied Biodiversity Scientist,UK Centre for Ecology and Hydrology,"Wallingford, Oxfordshire",2026-07-05,40574,43056,Scientific & QA Jobs,https://www.adzuna.co.uk/jobs/details/5789182397?utm_medium=api&utm_source=bce444a8
2026-07-06,5789182282,"Snr Data Scientist, Computational Genomics/DNA Modelling",relationrx,"London, UK",2026-07-05,60470.13,60470.13,Scientific & QA Jobs,https://www.adzuna.co.uk/jobs/details/5789182282?utm_medium=api&utm_source=bce444a8
2026-07-06,5789181802,Sports Trader,White Swan Data,"Pentonville, North London",2026-07-05,42617.28,42617.28,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789181802?utm_medium=api&utm_source=bce444a8
2026-07-06,5789181703,"Business Intelligence Engineer, Amazon Customer Service",Amazon,"London, UK",2026-07-05,78080.18,78080.18,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789181703?utm_medium=api&utm_source=bce444a8
2026-07-06,5789181207,Internship - Institutional Business UK,BBVA,"London, UK",2026-07-05,55359.11,55359.11,Accounting & Finance Jobs,https://www.adzuna.co.uk/jobs/details/5789181207?utm_medium=api&utm_source=bce444a8
2026-07-06,5789181193,Analytics Engineer / Data Quality Engineer,Funding Circle,"London, UK",2026-07-05,72201.55,72201.55,IT Jobs,https://www.adzuna.co.uk/jobs/details/5789181193?utm_medium=api&utm_source=bce444a8
